timeframe,instrument,pattern,total_patterns,same_candle_count,same_candle_pct,within_2_count,within_2_pct,within_3_count,within_3_pct,never_count,never_pct,cum_2bars_count,cum_2bars_pct,cum_3bars_count,cum_3bars_pct
12H,MNQ,2U,512,269,52.5%,80,15.6%,18,3.5%,145,28.3%,349,68.2%,367,71.7%
12H,MNQ,2D,195,1,0.5%,64,32.8%,16,8.2%,114,58.5%,65,33.3%,81,41.5%
12H,MES,2U,526,266,50.6%,86,16.3%,12,2.3%,162,30.8%,352,66.9%,364,69.2%
12H,MES,2D,211,4,1.9%,67,31.8%,17,8.1%,123,58.3%,71,33.6%,88,41.7%
4H,MNQ,2U,1445,501,34.7%,328,22.7%,82,5.7%,534,37.0%,829,57.4%,911,63.0%
4H,MNQ,2D,806,6,0.7%,316,39.2%,70,8.7%,414,51.4%,322,40.0%,392,48.6%
4H,MES,2U,1469,508,34.6%,345,23.5%,74,5.0%,542,36.9%,853,58.1%,927,63.1%
4H,MES,2D,849,20,2.4%,322,37.9%,59,6.9%,448,52.8%,342,40.3%,401,47.2%
60min,MNQ,2U,5630,1586,28.2%,1148,20.4%,327,5.8%,2569,45.6%,2734,48.6%,3061,54.4%
60min,MNQ,2D,3593,36,1.0%,1121,31.2%,295,8.2%,2141,59.6%,1157,32.2%,1452,40.4%
60min,MES,2U,5647,1651,29.2%,1166,20.6%,305,5.4%,2525,44.7%,2817,49.9%,3122,55.3%
60min,MES,2D,3669,167,4.6%,1098,29.9%,297,8.1%,2107,57.4%,1265,34.5%,1562,42.6%
30min,MNQ,2U,10841,2747,25.3%,2289,21.1%,631,5.8%,5174,47.7%,5036,46.5%,5667,52.3%
30min,MNQ,2D,7475,79,1.1%,2295,30.7%,603,8.1%,4498,60.2%,2374,31.8%,2977,39.8%
30min,MES,2U,10734,2911,27.1%,2274,21.2%,597,5.6%,4952,46.1%,5185,48.3%,5782,53.9%
30min,MES,2D,7589,510,6.7%,2170,28.6%,589,7.8%,4320,56.9%,2680,35.3%,3269,43.1%
15min,MNQ,2U,21397,4983,23.3%,4777,22.3%,1271,5.9%,10366,48.4%,9760,45.6%,11031,51.6%
15min,MNQ,2D,15502,303,2.0%,4587,29.6%,1219,7.9%,9393,60.6%,4890,31.5%,6109,39.4%
15min,MES,2U,20706,5391,26.0%,4422,21.4%,1193,5.8%,9700,46.8%,9813,47.4%,11006,53.2%
15min,MES,2D,15575,1373,8.8%,4388,28.2%,1173,7.5%,8641,55.5%,5761,37.0%,6934,44.5%
